<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00000004	제기	제기/NNG
BTHO0394-00000005	-	-/SS
BTHO0394-00000006	우리의	우리/NP + 의/JKG
BTHO0394-00000007	대학연구	대학/NNG + 연구/NNG
</head>
<head>
BTHO0394-00000008	제	제/XPN
BTHO0394-00000009	1	1/SN
BTHO0394-00000010	장	장/NNP
</head>
<head>
BTHO0394-00000011	시스템과	시스템/NNG + 과/JC
BTHO0394-00000012	동기의	동기/NNG + 의/JKG
BTHO0394-00000013	부재	부재/NNG
</head>
<p>
BTHO0394-00000014	최근	최근/NNG
BTHO0394-00000015	많은	많/VA + 은/ETM
BTHO0394-00000016	국내	국내/NNG
BTHO0394-00000017	대학원들이	대학원/NNG + 들/XSN + 이/JKS
BTHO0394-00000018	정원을	정원/NNG + 을/JKO
BTHO0394-00000019	채우지	채우/VV + 지/EC
BTHO0394-00000020	못하고	못하/VX + 고/EC
BTHO0394-00000021	있고,	있/VX + 고/EC + ,/SP
BTHO0394-00000022	많은	많/VA + 은/ETM
BTHO0394-00000023	사람들이	사람/NNG + 들/XSN + 이/JKS
BTHO0394-00000024	이를	이/NP + 를/JKO
BTHO0394-00000025	우려의	우려/NNG + 의/JKG
BTHO0394-00000026	눈으로	눈/NNG + 으로/JKB
BTHO0394-00000027	바라보고	바라보/VV + 고/EC
BTHO0394-00000028	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00000029	물론,	물론/MAG + ,/SP
BTHO0394-00000030	그동안	그동안/NNG
BTHO0394-00000031	대학원	대학원/NNG
BTHO0394-00000032	정원도	정원/NNG + 도/JX
BTHO0394-00000033	대폭	대폭/MAG
BTHO0394-00000034	확대되었지만	확대/NNG + 되/XSV + 었/EP + 지만/EC
BTHO0394-00000035	서울대를	서울대/NNP + 를/JKO
BTHO0394-00000036	비롯한	비롯/XR + 하/XSV + ᆫ/ETM
BTHO0394-00000037	국내	국내/NNG
BTHO0394-00000038	유수	유수/NNG
BTHO0394-00000039	대학원들이	대학원/NNG + 들/XSN + 이/JKS
BTHO0394-00000040	정원을	정원/NNG + 을/JKO
BTHO0394-00000041	채우지	채우/VV + 지/EC
BTHO0394-00000042	못한다는	못하/VX + ᆫ다는/ETM
BTHO0394-00000043	것은	것/NNB + 은/JX
BTHO0394-00000044	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000045	현상이	현상/NNG + 이/JKS
BTHO0394-00000046	단순히	단순히/MAG
BTHO0394-00000047	정원	정원/NNG
BTHO0394-00000048	확대에서	확대/NNG + 에서/JKB
BTHO0394-00000049	비롯된	비롯/XR + 되/XSV + ᆫ/ETM
BTHO0394-00000050	것이	것/NNB + 이/JKC
BTHO0394-00000051	아니라는	아니/VCN + 라는/ETM
BTHO0394-00000052	것을	것/NNB + 을/JKO
BTHO0394-00000053	보여주고	보이/VV + 어/EC + 주/VX + 고/EC
BTHO0394-00000054	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00000055	국내	국내/NNG
BTHO0394-00000056	대학원들이	대학원/NNG + 들/XSN + 이/JKS
BTHO0394-00000057	정원을	정원/NNG + 을/JKO
BTHO0394-00000058	채우지	채우/VV + 지/EC
BTHO0394-00000059	못하는	못하/VX + 는/ETM
BTHO0394-00000060	이유는	이유/NNG + 는/JX
BTHO0394-00000061	국내	국내/NNG
BTHO0394-00000062	학위	학위/NNG
BTHO0394-00000063	취득자에	취득자/NNG + 에/JKB
BTHO0394-00000064	대한	대하/VV + ᆫ/ETM
BTHO0394-00000065	푸대접,	푸대접/NNG + ,/SP
BTHO0394-00000066	학업	학업/NNG
BTHO0394-00000067	후	후/NNG
BTHO0394-00000068	취업의	취업/NNG + 의/JKG
BTHO0394-00000069	어려움	어려움/NNG
BTHO0394-00000070	등에	등/NNB + 에/JKB
BTHO0394-00000071	따라	따르/VV + 아/EC
BTHO0394-00000072	많은	많/VA + 은/ETM
BTHO0394-00000073	학생들이	학생/NNG + 들/XSN + 이/JKS
BTHO0394-00000074	대학원에	대학원/NNG + 에/JKB
BTHO0394-00000075	진학하기를	진학/NNG + 하/XSV + 기/ETN + 를/JKO
BTHO0394-00000076	꺼려하며,	꺼리/VV + 어/EC + 하/VX + 며/EC + ,/SP
BTHO0394-00000077	학업을	학업/NNG + 을/JKO
BTHO0394-00000078	계속하고자	계속/NNG + 하/XSV + 고자/EC
BTHO0394-00000079	하는	하/VX + 는/ETM
