<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00000005	(Neurology)이란	(/SS + Neurology/SL + )/SS + 이란/JX
BTHO0397-00000006	신경계와	신경/NNG + 계/XSN + 와/JC
BTHO0397-00000007	그	그/MM
BTHO0397-00000008	장애를	장애/NNG + 를/JKO
BTHO0397-00000009	학문적으로	학문/NNG + 적/XSN + 으로/JKB
BTHO0397-00000010	연구하는	연구/NNG + 하/XSV + 는/ETM
BTHO0397-00000011	분야를	분야/NNG + 를/JKO
BTHO0397-00000012	의미하지만,	의미/NNG + 하/XSV + 지만/EC + ,/SP
BTHO0397-00000013	실제로	실제로/MAG
BTHO0397-00000014	인간에서	인간/NNG + 에서/JKB
BTHO0397-00000015	치료를	치료/NNG + 를/JKO
BTHO0397-00000016	주된	주/NNG + 되/XSV + ᆫ/ETM
BTHO0397-00000017	목적으로	목적/NNG + 으로/JKB
BTHO0397-00000018	하는	하/VV + 는/ETM
BTHO0397-00000019	의미를	의미/NNG + 를/JKO
BTHO0397-00000020	포함하여	포함/NNG + 하/XSV + 아/EC
BTHO0397-00000021	간혹	간혹/MAG
BTHO0397-00000022	'임상	'/SS + 임상/NNG
BTHO0397-00000023	신경학'이란	신경학/NNG + '/SS + 이/VCP + 란/ETM
BTHO0397-00000024	용어를	용어/NNG + 를/JKO
BTHO0397-00000025	사용하기도	사용/NNG + 하/XSV + 기/ETN + 도/JX
BTHO0397-00000026	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000027	이는	이/NP + 는/JX
BTHO0397-00000028	좁은	좁/VA + 은/ETM
BTHO0397-00000029	의미에서	의미/NNG + 에서/JKB
BTHO0397-00000030	신경계	신경/NNG + 계/XSN
BTHO0397-00000031	장애를	장애/NNG + 를/JKO
BTHO0397-00000032	내과적으로	내과/NNG + 적/XSN + 으로/JKB
BTHO0397-00000033	치료하는	치료/NNG + 하/XSV + 는/ETM
BTHO0397-00000034	임상의학의	임상/NNG + 의학/NNG + 의/JKG
BTHO0397-00000035	한	한/MM
BTHO0397-00000036	분야를	분야/NNG + 를/JKO
BTHO0397-00000037	의미하기도	의미/NNG + 하/XSV + 기/ETN + 도/JX
